,hoax,link,timestamp
17,Pero sabías que una simple aguja puede salvar la vida de una persona en un accidente cerebrovascular? Un accidente cerebrovascular es una emergencia cardiaca.  Los capilares en el cerebro se desgarran cuando una persona está sufriendo un derrame cerebral. Una rápida reacción y una aguja esterilizada son útiles en esta condición. No trate de mover a la persona ya que los capilares podrían estallar en el cerebro causando sangrado interno. Trate de que la aguja se caliente en fuego un poco sólo para esterilizarla. Cuando haya terminado empiece a pinchar rápido y  solo unos pocos milímetros en todos los dedos de la mano.  Hacemos esto para hacer que fluya la sangre. Si no ve sangre apriete los dedos para permitir el flujo sanguíneo. Cuando los dedos comiencen a sangrar el paciente comenzara a recuperar la conciencia.,http://www.hablillas.org/salud/aguja-salva-alguien-derrame-cerebral/,2018-04-20 11:26:03
18,"El Papa Francisco cancela la Biblia y propone crear un libro nuevo: El Papa Francisco ha dado hoy la sorpresa al anunciar que la Biblia ya se ha quedado totalmente anticuada y que necesita un cambio radical, por lo que la da oficialmente por cancelada y ha anunciado una reunión entre los más altos cargos de la iglesia donde se decidirá el libro que la sustituirá, su nombre y su contenido. Ya se están barajando algunos nombres y el que tiene más fuerza es del de “Biblia 2000”.",http://www.hablillas.org/religion/papa-francisco-cancela-la-biblia/,2018-04-17 17:05:25
20,"Una de las leyendas más extraordinarias tiene lugar en una tienda de vestidos de novia en Chihuahua, donde desde hace décadas un maniquí del aparador es objeto de múltiples relatos de corte sobrenatural. Le llaman “La Pascualita”, y basta con mirarla un rato para descubrir que sus rasgos y detalles son escalofriantemente reales: La expresión de sus ojos, las líneas de sus manos y forma de las uñas, el pelo insertado en su cuero cabelludo, o su tez de apariencia humana son algunos de estos elementos desconcertantes que le han dado fama a este enigmático maniquí.",http://www.hablillas.org/latinoamerica/cuerpo-nina-muerta-maniqui-mexico/,2018-04-15 12:43:02
21,"Hola, soy Mark Zuckerberg El Director de Facebook. Hola a todos, parece que todas las advertencias fueron reales, el uso de Facebook costará dinero. Si envía esta cadena a 18 diferentes de su lista, su icono será azul y será gratis para usted. Si no me crees mañana a las 6 pm ese facebook estará cerrado y para abrirlo tendrás que pagar, esto es todo por ley. Este mensaje es para informar a todos nuestros usuarios, que nuestros servidores han estado muy congestionados recientemente, por lo que le pedimos su ayuda para resolver este problema. Requerimos que nuestros usuarios activos reenvíen este mensaje a cada una de las personas en su lista de contactos para confirmar a nuestros usuarios activos de Facebook. Si no envía este mensaje a todos sus contactos de Facebook, su cuenta permanecerá inactiva con la consecuencia de perder todo. su cont la transmisión de este mensaje. Su SmartPhone se actualizará dentro de las próximas 24 horas, tendrá un nuevo diseño y un nuevo color para el chat. Estimados usuarios de Facebook, vamos a hacer una actualización para Facebook a partir de las 23:00 p.m. hasta las 05:00 a.m. en este día. Si no envía esto a todos sus contactos, la actualización se cancelará y no tendrá la posibilidad de chatear con sus mensajes de Facebook. Va a pagar a menos que sea un usuario frecuente. Si tienes al menos 10 contactos Envía este sms y el logo se pondrá rojo para indicar que eres un usuario confirmado ... Lo terminamos gratis. Mañana comienzan a recolectar los mensajes para Facebook a 0.37 centavos Reenvía este mensaje a más de 9 personas de tus contactos y estará libre de vida para que lo mires y se volverá verde la bola de arriba hazlo y verás",http://www.hablillas.org/tecnologia/mark-facebook-cerrado-costara-dinero/,2018-04-14 10:30:21
22,"Estado de México.- Un pastor evangélico, de nombre Jorge Villarreal, de 60 años, originario de Chalco, Estado de México, anunció por medio de redes sociales que se iba a casar con una menor de 12 años de edad. En su publicación de Facebook, el hombre aseguró que esa decisión no la tomó por si mismo, si no que Diosse lo había dicho.  El pastor mencionó qué recibió un llamado de Dios quien le ordenó que se casara con Karla, la niña de 12 años, ya que su esposa Lidia le fue infiel.",http://www.hablillas.org/religion/pastor-casarse-nina-12-dios/,2018-04-10 19:06:21
23,"LEER...URGENTE..! POR TU ORDENADOR Y POR EL MIO, HAZ CIRCULAR ESTE AVISO A TUS AMISTADES, FAMILIA, CONTACTOS !!! En los próximos días, debes estar atento: No abras ningún mensaje con un archivo anexo llamado: ” “Actualizacion de Windows live”, independientemente de quien te lo envíe. Es un virus que quema todo el disco duro. Este virus vendra de una persona conocida que te tiene en su lista de contactos,.es por eso que debes de enviar este mensaje a todos tus contactos !! Si recibes el mensaje llamado: “Actualización de Windows live”, aunque sea enviado por un amigo, no lo abras y apaga tu máquina inmediatamente. Es el peor virus anunciado por CNN. Ha sido clasificado por Microsoft como el virus más destructivo que haya existido. Este virus fue descubierto ayer por la tarde por Mc Afee. Y no hay arreglo aún para esta clase de virus. Este virus destruye simplemente el Sector Zero del Disco Duro. RECUERDA: SI LO REENVÍAS NOS BENEFICIAS A TODOS...",http://www.hablillas.org/tecnologia/cnn-virus-actualizacion-windows-live/,2018-04-08 09:55:21
24,"Este Jueves Santo, la feligresía católica fue conmovida por una entrevista al papa Francisco en la que el Sumo Pontífice afirma que “el infierno no existe”. La entrevista fue realizada por el célebre periodista italiano Eugenio Scalfari, amigo personal del Santa Padre, y publicada en el diario La República. [...] -Su Santidad, en nuestra reunión anterior me dijo que nuestra especie desaparecerá en algún momento y que Dios siempre creará otras especies a partir de su semilla creadora. Nunca me habló de las almas que murieron en el pecado y se van al infierno por toda la eternidad. Me habló, por el contrario, de buenas almas y me admitió la contemplación de Dios. ¿Pero las almas malas? ¿Dónde están castigadas? -No son castigadas. Las que se arrepienten obtienen el perdón de Dios y van a la filas de las almas que lo contemplan, pero las que no se arrepienten y por lo tanto no pueden ser perdonadas, desaparecen. No existe un infierno, existe la desaparición de las almas pecadoras.",http://www.hablillas.org/religion/papa-dice-que-el-infierno-no-existe/,2018-04-05 18:21:49
26,"Todo el país está de luto, descanse en paz Andrés Guardado, el principito quien tendría su próximo partido pero ya no pudo llegar gracias a este trailero. COMPARTE POR FAVOR. José Andrés Guardado Hernández conocido como el principito actual jugador de Real Betis en España, quien tendría participación el día 24 de Marzo con la selección Mexicana de futbol, ya que se enfrentan a su similar de Islandia, lamentablemente no pudo llegar a el encuentro, la tarde del día de ayer sufrió un aparatoso accidente en la unidad en la que viajaba Andrés con rumbo a concentración en los Ángeles california, se impacto con un tráiler. [...] Te pedimos tengas cuidar tus comentarios, se prudente ya que la familia de nuestro querido guardado esta pasando por algo muy feo, por favor APOYA COMPARTIENDO LA NOTICIA QUE EN TELEVISION NO HA SALIDO y se desconoce la razón, pues hoy en día si no disfrazan la noticia la OCULTAN. COMPARTE POR FAVOR",http://www.hablillas.org/deporte/guardado-seleccion-mexico-murio/,2018-03-26 17:46:08
27,"BESARIAN A ESTA MUJER? y aparece una foto de la virgen, y abajo dice: El presidente de argentina recibió una carta ,y la llamó ‘basura’ ,y a los 8 ,días murió su hijo. Un señor recibió la carta las repartió y la sorpresa q’ sacó fue la lotería. Alberto Martínez recibió la carta y la mando hacer con su secretaria , pero olvidaron de repartirlas: ella perdió su empleo y él su familia. Esta carta es milagrosa y sagrada , no te olvides de reenviarla antes de los 13 dias Tienes que enviarla a más de 20 personas en 13 días. No lo olvides. Que recibirás una gran sorpresa sorpresa!!! ¿Adonde miercoles vieron que a nuestro presidente (o presidenta) se les murio un hijo?.",http://www.hablillas.org/religion/presidente-argentina-foto-virgen-basura/,2018-03-25 21:02:25
28,"SU EXPERIENCIA, NOS ACONSEJA [...] Mientras usted aún esté sano y no muestre ningún síntoma de H1N1, a fin de prevenir la proliferación, agravamiento de los síntomas y desarrollo de infecciones secundarias, siga estos simples pasos, que no destacan en las comunicaciones oficiales, y que se pueden poner en práctica, en lugar de enfocarse en cómo almacenar N95 o Tamiflú. 1. Lavarse las manos con frecuencia. 2. Resista la tentación de tocarse la cara, cualquier parte de la cara, a menos que vaya a comer o bañarse. 3. Haga gárgaras dos veces al día con agua de sal tibia (use Listerine si no confía en la sal). H1N1 permanece en la garganta y en la cavidad nasal dos o tres días después del contagio, y luego muestra sus síntomas característicos. Simples gargarismos previenen su proliferación. Las gárgaras con agua de sal tienen el mismo efecto en un individuo sano que el Tamiflú en una persona infectada. No subestime este simple, baratísimo y poderoso método preventivo. 4. Limpie sus fosas nasales al menos una vez al día con agua de sal tibia- Sonarse fuerte una vez al día y limpiar la nariz con cotonetes humedecidos en el agua de sal tibia. Es muy efectivo y disminuye la población viral. 5. Refuerce su sistema inmunológico con alimentos ricos en vitamina C. Si toma un suplemento de vitamina C, cerciórese de que también contiene Zinc, que estimula su absorción. 6. Beba muchos líquidos tibios, te, café, etc, tanto como pueda. Beber líquidos tibios tiene el mismo efecto de las gárgaras, pero en sentido inverso.Llevan los virus al estómago, en donde no pueden sobrevivir, proliferar o causar algún daño. Te sugiero que pases estas recomendaciones a toda tu lista de contactos.",http://www.hablillas.org/salud/dvinay-goyal-protegerse-gripe-abril/,2018-03-23 12:01:03
32,"“Mi nombre es Juan Pedro Galdín. El otro día compré una Coca Cola en lata con fecha de vencimiento 4 de agosto de 2018 [...] adentro, cuando termino, agito, y siento que hay algo [...] Abro y mire señoras y senõras, vean que hay ahí adentro. Obviamente que en la lata no podría entrar porque es enorme, o sea que ya estaba ahí. Así que tengo todas las pruebas que necesito. ¿Qué bárbaro no? Después de eso, olvídate que nunca más pruebo una coca-cola”.",http://www.hablillas.org/latinoamerica/hombre-encuentra-rata-lata-coca/,2018-03-19 21:55:02
38,Este y otros bulos circulan hoy. La detenida por la muerte de #Gabriel NO está vinculada al secuestro parental de Anaís. No creas ni compartas informaciones que no procedan de fuentes oficiales. #STOPBulos      Related,http://www.hablillas.org/mundo/ana-julia-sospecha-secuestro-anais/,2018-03-12 19:36:23
42,"China sigue siendo el mayor productor de arroz en el mundo. El “Reino del Medio” cosecha más de 200 millones de toneladas al año y exporta una gran cantidad a muchos países del mundo. Pero tanto los cocineros como los comensales deben tener cuidado: la agricultura china no solo usa una gran cantidad de pesticidas, sino que además, el arroz se manufactura actualmente de forma artificial, según un reporte de The Korea Times.  El almidón de la papa se mezcla con plástico (resina sintética, por ejemplo) y después se le da la forma de granos de arroz. Posteriormente, a los granos se les impregna el típico aroma del arroz mediante la vaporización. Los médicos han alertado insistentemente sobre los peligros de consumir este producto artificial: tres porciones podrían contener tanto plástico como una pequeña bolsa de este material. ¡Alarmante! Con estos simples trucos puedes hacer la prueba para saber si el arroz que consumes es saludable y está libre de plástico: La prueba del agua Pon una cucharada de arroz crudo en un vaso con agua fría y agítalo vigorosamente. Si todo el arroz se hunde en el fondo del vaso, entonces es saludable.  Si los granos flotan en la superficie, ¡ten cuidado! La prueba del fuego Trata de poner un poco de arroz al fuego con un fósforo o un mechero. Si se quema de inmediato y huele a plástico quemado, ¡entonces, ya sabes lo que tienes que hacer! (¡No lo consumas!). La prueba del mortero y el pilón Cuando trituras algunos granos de arroz en un mortero, los granos se reducen fácilmente hasta convertirse en un polvo fino, blanco y con apariencia de almidón.  Pero con el arroz artificial verás, en cambio, como los granos se tiñen levemente de color amarillo. La prueba del moho Si quieres estar seguro de que tu arroz cocido es completamente natural, coloca una pequeña cantidad dentro de un recipiente hermético y déjalo en un lugar tibio. En pocos días debe tener moho. Solo el arroz de imitación permanece sin moho",http://www.hablillas.org/salud/china-falso-arroz-plastico/,2018-03-08 18:55:50
44,"Hoy a las 21 hrs el Papa Francisco convoca a todo el mundo sin importar donde estes, ni el credo o religión a un momento de recogimiento, meditación u oración por la paz en Siria y el resto del mundo. Todo el planeta unido en oración Por la paz. Si puedes reenviarlo por favor, unamonos en oración urgente, porque el grupo islamico radical acaba de tomar Quaragosh, la ciudad cristiana más grande de Irak. Donde hay cientos de hombres, mujeres y niños cristianos que están siendo decapitados. Se está pidiendo cubierta de oración. Por favor toma un minuto y ora por ellos. Pasa el mensaje a todos tus contactos, que no se corte la cadena.  Nos han pedido oración por favor pásalo a otros.",http://www.hablillas.org/mundo/estado-islamico-quaragosh-papa-oraciones/,2018-03-06 22:26:14
47,"“Los fans pueden ir a los fósforos mundialya con drogas narcóticas y psicotrópicas, si tienen una receta del médico. Como se informó en el comité organizador de la Copa del Mundo, evaluar la autenticidad del documento serán los oficiales de las fuerzas de seguridad. Los extranjeros tienen el derecho de importar a Rusia varios cientos de drogas, incluidas las que están completamente prohibidas de nosotros, el procedimiento está regulado en todo el territorio de la Unión Económica Eurasiática (EAEC). Usted puede incluso venir con marihuana y cocaína, si su uso con fines médicos es confirmado”. “Los fans de fútbol habrían sido autorizados a traer cocaína y marihuana para la Copa Mundial de la FIFA 2018, siempre que pasen por los arcos burocráticos necesarios para garantizar documentos. La Unión Económica Euroasiática liderada por Rusia concede a los viajeros el derecho de traer sustancias prohibidas para el país con documentos médicos de soporte escritos en ruso. De acuerdo con los reglamentos, la lista de medicamentos autorizados en el bloque liderado por Rusia incluye cocaína, cannabis y heroína”.",http://www.hablillas.org/deporte/fanaticos-podran-llevar-marihuana-juegos/,2018-03-03 12:31:13
48,"El famoso cocinero británico, Jamie Oliver, ganó su demanda contra McDonald’s, uno de los mayores símbolos de la cultura de consumo. Así que, se probó que el contenido de “carne” en las hamburguesas de McDonlad’s son nada más que pasta de grasa animal y amoniaco.",http://www.hablillas.org/latinoamerica/jamie-oliver-mcdonalds-hamburguesas-amoniaco/,2018-03-01 12:57:52
49,"Porfavor compartan en sus redes se la arrebataron a su tía en la joya tultitlan, hace 30 minutos, a mano armada..cuiden mucho a los niños porfa..Por favor compartan antes que la lleven mas lejos de su familia. URGE difundir Por favor ayuden a difundir esa foto, es sobrina de seminarista, próximo diacono y se la arrebataron de la mano a su tía en la calle hace una hora. mientras más gente la vea es mejor porque ya saben que las próximas horas son vitales. Gracias",http://www.hablillas.org/latinoamerica/compartan-foto-nina-fue-secuestrada/,2018-02-28 18:04:33
50,"YO NO SABÍA ESTO Si algún secuestrador te obliga a sacar dinero del cajero...marca tu clave al revés... PIN DE TARJETAS (Muy importante) *OjO* Si estás siendo forzado/a por un ladrón para retirar tu dinero de un cajero automático, lo puedes notificar al banco marcando tú Clave al revés. Por ejemplo si tu número de clave es 7854 márcalo al revés: 4587. El cajero reconoce que tu número de clave está marcado al revés del que corresponde a la tarjeta que pusiste en la máquina.. La máquina te dará el dinero solicitado, pero, sin que el ladrón se entere, la policia será avisada y saldrá para ayudarte inmediatamente.  Esta información se transmitió recientemente por SUBDEN y declararon queel sistema raramente lo usan, porque las personas no saben que existe. Por favor, pasa esta información a todos tus contactos “.",http://www.hablillas.org/latinoamerica/clave-pin-al-reves-avisa-policia/,2018-02-27 18:35:03
52,1. Empoderamiento nacionalista; 2. Desdén por los derechos humanos; 3. Identificación del enemigo como causa unificadora; 4. Supremacía militar; 5.Sexismo sin límites; 6. Control de los vehículos de prensa; 7. Obsesión por la seguridad nacional; 8. Gobierno y religión ligados; 9. Poder/derechos corporativistas protegidos; 10. Poder/derechos de los trabajadores suprimidos; 11. Desdén por los intelectuales y por las artes; 13. Corrupción y nepotismo sin límites; 14. Elecciones fraudulentas.,http://www.hablillas.org/politica/museo-holocausto-placa-senales-fascismo/,2018-02-24 13:03:41
54,"“Especialistas confirman un sismo de muy alta intensidad en México. Expertos de la UNAM aseguraron que debido a la brecha sísmica localizada bajo la Costa de Guerrero es confirmado un nuevo terremoto para este jueves de 8.7 grados richter. Todos los noticieros piden a familias mexicanas prepararse para es jueves ya que sera un terremoto devastador”, dice el mensaje que en internet están compartiendo sin cuidado alguno.",http://www.hablillas.org/latinoamerica/terremoto-especialistas-jueves-rumor/,2018-02-21 15:33:07
55,"YA ESTA DISPONIBLE LA VACUNA PARA EL CANCER DE MAMAS, COLON Y ESTOMAGO... Hace mas de dos años comenzaba a circular en internet la noticia de que se ya estaba disponible para un tratamiento experimental para la cura del cáncer de mama, estómago y colon, de la mano de una vacuna inventada por el científico de reno... La vacuna se encuentra disponible en el Hospital Vargas de Caracas, su aplicación es GRATUITA y puede solicitarse mayor información al siguiente número telefónico: +58 0212 8626807 Convit inventó a sus avanzados 92 años y es un ícono de la medicina a nivel mundial. Anteriormente, había descubierto la cura de la Lepra y luego, creó la vacuna contra la leishmaniasis [...]",http://www.hablillas.org/salud/vacuna-cancer-descubierta-venezuela/,2018-02-20 13:08:20
62,"Impresionante! Se dice que esto ocurrió recientemente en Israel, durante una fiesta, en una discoteca. La tierra se abrió y tragó buena parte de las personas. No hallaron más los cuerpos. Los juicios de Dios se acercan cada vez más a la humanidad. Signos del final. Cercaron toda el área No encontraron un fin para el abismo que está allí abierto. Hay que volverse a Dios y recibir a Jesucristo como Señor y Salvador. Related",http://www.hablillas.org/mundo/piso-abrio-discoteca-israel/,2018-02-13 18:58:27
66,"Urgente: Dirigido a los q salen x la noche, de universidades y colegios. Si encuentran a un niño llorando en la calle, c/una dirección en mano, y pide q lo acompañe a esa dirección, llamen o llévenlo a la policía y no a la dirección indicada. Es el nuevo método q usan para el secuestro, robo y violaciones.Les ruego copiar y pegar, y envíalo a los q puedas para informar y evitar un gran dolor a las familias.",http://www.hablillas.org/latinoamerica/nino-llorando-calle-bandido/,2018-02-06 14:35:11
67,"MUCHO OJO !!! Van a subir unas fotos del pico de Orizaba por whatsapp el archivo se llama Orizaba pueblo mágico, no las abran ni vean te hackea el telefono en 10 segundos y no se puede detener de ninguna manera pasale el datos a los tuyos y amigos",http://www.hablillas.org/tecnologia/fotos-pico-orizaba-pueblo-magico-hackean/,2018-02-05 20:33:26
81,"La NASA ha confirmado que la Tierra experimentará 6 días de oscuridad casi completa y va a pasar a partir de la fecha del Martes 16 al Lunes 22 de diciembre. El mundo permanecerá durante estos seis días, sin la luz del sol debido a una tormenta solar, lo que hará que el polvo y los desechos espaciales sean tan abundantes que bloquearan el 90% de la luz solar. Este anuncio lo hizo el jefe de la NASA Charles Bolden, que pidió a todos que mantengan la calma. Esto será el producto de una tormenta solar, la más grande de los últimos 250 años por un periodo de 216 horas en total. A pesar de los seis días de oscuridad, los funcionarios dicen que la Tierra no experimentará ningún problema importante, ya que seis días de oscuridad son en absoluto suficientes para causar daños importantes a nada. “Únicamente nos apoyaremos en la luz artificial para los seis días, que no es un problema en absoluto”, dice el científico de la NASA Earl Godoy.",http://www.hablillas.org/religion/nasa-tierra-6-dias-oscuridad/,2018-01-16 22:13:22
